City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Ribeira Grande,PT,38.5167,-28.7,57.69,62,48,15.79,scattered clouds
165,Cockburn Town,TC,21.4612,-71.1419,76.96,78,40,5.75,scattered clouds
166,Buin,CL,-33.7333,-70.75,72.73,64,0,2.17,clear sky
167,San Policarpo,PH,12.1791,125.5072,81.5,82,19,8.55,few clouds
168,Hatillo,PR,18.4863,-66.8254,76.08,86,98,1.01,overcast clouds
169,Karratha,AU,-20.7377,116.8463,95.94,33,6,4.43,clear sky
170,Tambilil,PH,5.9622,124.6697,85.28,75,62,4.27,broken clouds
171,Severo-Kurilsk,RU,50.6789,156.125,32.72,85,89,7.81,overcast clouds
172,Cabo San Lucas,MX,22.8909,-109.9124,71.91,61,0,11.5,clear sky
173,Ponta Do Sol,PT,32.6667,-17.1,66.06,77,99,8.7,overcast clouds
174,Saint Anthony,US,45.0205,-93.218,29.05,51,100,10.36,overcast clouds
175,Jalu,LY,29.0331,21.5482,52.52,62,44,8.34,scattered clouds
176,Liku,ID,-0.7275,119.8922,75.38,96,100,1.28,moderate rain
177,Saint-Philippe,RE,-21.3585,55.7679,76.59,88,71,13.94,moderate rain
178,Santa Maria,BR,-29.6842,-53.8069,63.7,88,0,8.05,clear sky
179,Potiskum,NG,11.7091,11.0694,72.75,20,83,8.41,broken clouds
180,Port Hardy,CA,50.6996,-127.4199,44.6,81,100,13.8,overcast clouds
181,Riyadh,SA,24.6877,46.7219,59.14,28,2,8.23,clear sky
182,Vinh,VN,18.6667,105.6667,74.84,78,21,2.39,few clouds
183,Ilulissat,GL,69.2167,-51.1,6.82,66,75,14.97,light shower snow
184,San Cristobal,VE,7.7669,-72.225,71.78,96,100,1.81,overcast clouds
185,Yakeshi,CN,49.2833,120.7333,15.98,91,95,0.94,overcast clouds
186,Port Alberni,CA,49.2413,-124.8028,44.44,95,100,3.0,overcast clouds
187,Hami,CN,42.8,93.45,48.07,50,93,8.39,overcast clouds
188,Taoudenni,ML,22.6783,-3.9836,70.16,14,0,8.48,clear sky
189,Naze,JP,28.3667,129.4833,68.92,74,21,9.46,few clouds
190,Guayaquil,EC,-2.1667,-79.9,76.96,88,100,5.75,light rain
191,Arraial Do Cabo,BR,-22.9661,-42.0278,77.34,89,100,1.19,overcast clouds
192,Montbrison,FR,45.6667,4.0833,44.94,69,100,11.59,overcast clouds
193,Marystown,CA,47.1666,-55.1483,42.85,100,100,8.99,overcast clouds
194,Sakakah,SA,29.9697,40.2064,45.97,50,0,9.62,clear sky
195,Lavrentiya,RU,65.5833,-171.0,12.69,75,1,4.83,clear sky
196,Ikalamavony,MG,-21.15,46.5833,64.02,86,88,6.06,overcast clouds
197,Tateyama,JP,34.9833,139.8667,58.87,63,100,4.9,overcast clouds
198,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.27,99,100,1.41,overcast clouds
199,Caxito,AO,-8.5785,13.6643,75.79,88,100,1.48,overcast clouds
200,Westport,US,41.1415,-73.3579,27.55,65,100,13.8,overcast clouds
201,Guerrero Negro,MX,27.9769,-114.0611,61.68,62,7,16.58,clear sky
202,Roswell,US,34.0232,-84.3616,30.4,42,0,12.66,clear sky
203,Maine-Soroa,NE,13.2114,12.0241,73.06,19,58,10.04,broken clouds
204,San Quintin,MX,30.4833,-115.95,59.59,62,2,9.28,clear sky
205,The Valley,AI,18.217,-63.0578,78.66,73,20,14.97,few clouds
206,Fort Nelson,CA,58.8053,-122.7002,4.59,78,100,6.91,light snow
207,Koungou,YT,-12.7336,45.2042,80.31,83,0,9.22,clear sky
208,Port Elizabeth,ZA,-33.918,25.5701,73.69,73,0,23.02,clear sky
209,Sechura,PE,-5.5569,-80.8222,76.14,76,100,4.12,overcast clouds
210,Boyolangu,ID,-8.1181,111.8935,82.27,79,100,2.75,overcast clouds
211,Pendleton,US,45.6721,-118.7886,64.0,33,0,8.05,clear sky
212,Redencao,BR,-4.2258,-38.7306,72.97,96,100,4.32,overcast clouds
213,Baykit,RU,61.67,96.37,-10.84,93,27,2.1,scattered clouds
214,Calama,CL,-22.4667,-68.9333,61.29,55,0,16.11,clear sky
215,Axim,GH,4.8699,-2.2405,79.57,86,98,5.14,overcast clouds
216,Pevek,RU,69.7008,170.3133,-6.03,97,96,2.33,overcast clouds
217,Miles City,US,46.4083,-105.8406,45.57,49,0,13.8,clear sky
218,Walvis Bay,NA,-22.9575,14.5053,65.35,88,83,10.36,broken clouds
219,Ustka,PL,54.5805,16.8619,33.57,54,0,8.3,clear sky
220,Kavieng,PG,-2.5744,150.7967,85.12,68,74,8.37,broken clouds
221,Fukuma,JP,33.7667,130.4667,67.28,67,100,11.77,light rain
222,Gao,ML,16.6362,1.637,74.37,12,4,12.19,clear sky
223,Hargeysa,SO,9.56,44.065,60.3,93,97,8.97,overcast clouds
224,Jiazi,CN,22.8779,116.067,72.95,72,0,6.69,clear sky
225,Zyryanka,RU,65.75,150.85,1.85,87,100,6.02,overcast clouds
226,Hofn,IS,64.2539,-15.2082,37.4,70,99,5.57,overcast clouds
227,Manakara,MG,-22.1333,48.0167,72.86,90,100,1.54,moderate rain
