City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Manokwari,ID,83.23,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
433,Richards Bay,ZA,76.19,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
434,La Asuncion,VE,76.77,broken clouds,11.0333,-63.8628,Colinas de Matasiete
436,Bousse,BF,81.05,broken clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
442,Chaiyaphum,TH,85.51,broken clouds,15.75,102.0,BBM Hotel
446,Mattru,SL,75.47,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
447,Marawi,PH,81.19,scattered clouds,7.9986,124.2928,Derogongan Residence
449,Champerico,GT,80.98,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
452,Bol,TD,75.0,scattered clouds,13.4586,14.7147,Harrouni camp de passage
454,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
458,Katherine,AU,88.12,scattered clouds,-14.4667,132.2667,Pine Tree Motel
459,Quatre Cocos,MU,79.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
464,Vanimo,PG,85.98,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
472,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
477,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
478,Pemangkat,ID,81.86,overcast clouds,1.1667,108.9667,Ramah Kost KITA
479,Nanchang,CN,75.81,broken clouds,28.6833,115.8833,Ruidu Hotel
485,Stawell,AU,80.76,clear sky,-37.05,142.7667,Motel Stawell
491,Sydney,AU,75.76,light rain,-33.8679,151.2073,The Grace Sydney
496,San Pedro,PH,82.35,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
498,Maumere,ID,85.35,broken clouds,-8.6199,122.2111,Sylvia Hotel
503,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
508,Black River,JM,75.92,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
512,Bartica,GY,77.32,few clouds,6.4,-58.6167,Sloth Island Nature Resort
513,Harper,LR,79.14,overcast clouds,4.375,-7.7169,Screensaver
515,Acapulco,MX,75.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
518,Vao,NC,79.66,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
521,Valdez,EC,79.56,overcast clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
525,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
528,Ormara,PK,75.88,scattered clouds,25.2088,64.6357,Kenara Colony house for Rent
529,Kaohsiung,TW,78.89,scattered clouds,22.6163,120.3133,御宿商旅-中山館
536,Pouembout,NC,84.58,broken clouds,-21.1333,164.9,Camping de Tipenga
537,Anloga,GH,81.3,broken clouds,5.7947,0.8973,Pin Drop Hotel
538,Amahai,ID,87.6,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
540,Mareeba,AU,84.43,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
546,Bubaque,GW,75.47,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
547,Simao,CN,77.97,clear sky,22.7886,100.9748,Changyu Hotel
551,Hirara,JP,75.06,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
553,Labuhan,ID,82.96,overcast clouds,-6.8844,112.2051,DoubleFAG
557,Buluang,PH,84.25,overcast clouds,13.3068,123.3425,Enon Beach Resort
561,Mutis,CO,78.91,overcast clouds,6.2262,-77.4044,Paraiso Escondido
563,Yulara,AU,89.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
565,Kirakira,SB,83.41,broken clouds,-10.4544,161.9205,SanBiz Lodge
569,Bo Phloi,TH,88.32,scattered clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
572,Matara,LK,77.43,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
579,Monrovia,LR,79.47,light rain,6.3005,-10.7969,Sunset Inn
583,Sarangani,PH,83.21,few clouds,5.4033,125.4636,Ballistic Islet
585,Grand Gaube,MU,79.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
599,Tiarei,PF,86.02,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
600,Sur,OM,77.61,clear sky,22.5667,59.5289,Sur Plaza Hotel
601,Buala,SB,84.0,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
611,Bac Lieu,VN,84.11,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
612,Pangai,TO,82.22,light rain,-19.8,-174.35,Ha'apai Beach Resort
613,Kosum Phisai,TH,84.09,broken clouds,16.2486,103.0674,Banrao
616,Macau,MO,77.86,few clouds,22.2006,113.5461,Grand Emperor Hotel
619,Salinopolis,BR,77.29,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
622,Ugoofaaru,MV,82.04,clear sky,5.6667,73.0,Ungoofaaru Inn
624,Areia Branca,BR,79.5,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
627,Nelson Bay,AU,76.08,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
629,Sinnamary,GF,76.37,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
631,Lhokseumawe,ID,81.5,scattered clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
632,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
641,Vung Tau,VN,81.79,overcast clouds,10.346,107.0843,Seaside Resort
649,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
665,Sibolga,ID,82.38,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
679,Makaha,US,84.11,clear sky,21.4694,-158.2175,Hawaiian Princess Resort
680,Grenville,GD,78.4,few clouds,12.1167,-61.6167,Valley Breeze Guest House
684,Garango,BF,85.57,overcast clouds,11.8,-0.5506,La Case LAVAL-GARANGO
685,Kousseri,CM,77.18,overcast clouds,12.0769,15.0306,Le Pilotis
688,Wewak,PG,85.73,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
691,Mogadishu,SO,77.77,overcast clouds,2.0371,45.3438,Hotel Juba
696,Puerto Carreno,CO,82.4,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
